D,alpha,z,width,mu_c,turning_point_exact,baseline_finite_width,tensor_0p2,tensor_0p4,paper_small_width_available
4,4.0,1.0,0.3,8.008110994235764,1.108028878504372,-0.00015159815656818964,-0.00015191940424167893,-0.00015288592980528624,False
4,4.0,1.5,0.3,10.318274686111806,1.1042819164293378,-0.00034438067167222915,-0.0003452634462643627,-0.0003479206229667838,False
4,4.0,2.0,0.3,12.642157469399324,1.1007988177724835,-0.0004909360546697864,-0.0004923655970538428,-0.0004966702067898301,False
4,4.0,2.5,0.3,14.976243055417843,1.0975517255449,-0.0005769654881004982,-0.0005788161798031116,-0.0005843907820205332,False
4,4.0,3.0,0.3,17.315797480618237,1.0945166509218387,-0.0006146640363330492,-0.0006167976163715565,-0.0006232261800200144,False
4,4.0,4.0,0.3,21.99745102544413,1.0890021222540855,-0.000602584427254137,-0.0006049588688456169,-0.0006121166249753037,False
4,4.0,5.0,0.3,26.669188808015893,1.084118725445833,-0.0005384123196761734,-0.0005407617387627544,-0.0005478468613235581,False
5,3.0,1.0,0.3,9.159042147674814,1.0478863396527198,0.000125734642952188,0.0001260268800371228,0.0001269063213157629,False
5,3.0,1.5,0.3,11.459729853944431,1.0458902031889585,0.00040568913174159163,0.0004067490933737016,0.0004099402273905443,False
5,3.0,2.0,0.3,13.761086449079995,1.0440297694946736,0.000723809320108142,0.0007258332036758708,0.0007319283530861044,False
5,3.0,2.5,0.3,16.067505018416085,1.0422920790154455,0.0010100108732134052,0.0010129655685232868,0.0010218663490358156,False
5,3.0,3.0,0.3,18.378231460844436,1.0406657660605267,0.0012428187408487384,0.0012465752669658084,0.0012578940115528581,False
5,3.0,4.0,0.3,23.00579399327122,1.037708388620028,0.0015538878349674252,0.0015587982158974357,0.0015735987485410408,False
5,3.0,5.0,0.3,27.63218804216263,1.035090498725016,0.0017100029254699897,0.0017155636164774884,0.0017323285656348577,False
5,4.0,1.0,0.24,10.867361981672062,1.0419403169155836,2.949899300632195e-05,2.9578282260756062e-05,2.98169545207721e-05,False
5,4.0,1.0,0.3,10.867361981672062,1.0166345907845724,3.129434008991058e-05,3.137679058148394e-05,3.162498123088886e-05,False
5,4.0,1.5,0.24,13.17408714571579,1.0405043835523473,0.00014180706736627473,0.0001422172033322603,0.00014345226851059141,False
5,4.0,1.5,0.3,13.17408714571579,1.0158996737061845,0.0001552618777424605,0.00015569701613997848,0.0001570073738830972,False
5,4.0,2.0,0.24,15.463763067026155,1.03914932281553,0.0003125130392647217,0.0003134527175393173,0.00031628328017111834,False
5,4.0,2.0,0.3,15.463763067026155,1.0152124442819332,0.00035329796629793314,0.0003543166607262769,0.00035738520282929583,False
5,4.0,2.5,0.24,17.749458721582094,1.0378687048958886,0.0004981406661696745,0.0004996758896627336,0.0005043015003878011,False
5,4.0,2.5,0.3,17.749458721582094,1.0145687602114302,0.0005814064010550516,0.0005831084447048373,0.0005882365350550147,False
5,4.0,3.0,0.24,20.035164494816804,1.0366567610974828,0.0006724309640386384,0.0006745399653038615,0.0006808955997985624,False
5,4.0,3.0,0.3,20.035164494816804,1.0139649309674987,0.0008098878936279773,0.0008122800035998421,0.0008194884701997347,False
5,4.0,4.0,0.24,24.609525698546456,1.0344186400991706,0.0009499993960569193,0.0009530517061873899,0.00096225283019309,False
5,4.0,4.0,0.3,24.609525698546456,1.0128639876870367,0.0012157217848578776,0.0012193453676863826,0.0012302676497499008,False
5,4.0,5.0,0.24,29.185913516935297,1.0323991645059902,0.001130441321775253,0.001134132985153585,0.0011452638809972006,False
5,4.0,5.0,0.3,29.185913516935297,1.0118870902761652,0.0015315104822539048,0.0015360921034134835,0.0015499046345628389,False
