D,alpha,z,width,n_response,baseline,tensor,ratio,baseline_rel_to_n30000,tensor_rel_to_n30000,n_b2,metric_tol,mu2,metric_rms,baseline_rel_to_n40000
4,0,5,0.1,9000.0,-3.7352861522328055e-16,-2.743402586226869e-11,73445.58018900297,0.0035372909146063713,8.42553839015454e-06,,,,,
4,0,5,0.1,18000.0,-3.7228841242920616e-16,-2.7433835197950964e-11,73689.7369943464,0.00020531124443794172,1.4755586411843236e-06,,,,,
4,0,5,0.1,30000.0,-3.722119931217036e-16,-2.7433794717778107e-11,73704.75757025908,0.0,0.0,,,,,
4,4,5,0.1,9000.0,-3.14081473179955e-13,-1.4135672578865206e-08,45006.38778768743,0.0036609414139002028,0.00010250963455401298,,,,,
4,4,5,0.1,18000.0,-3.1300375912089614e-13,-1.4134478272251048e-08,45157.535206443565,0.0002170594932678386,1.8012131132895944e-05,,,,,
4,4,5,0.1,30000.0,-3.1293583342746703e-13,-1.4134223684760576e-08,45166.52353280801,0.0,0.0,,,,,
5,0,5,0.1,9000.0,2.5082299488923223e-15,1.728010281580889e-10,68893.6148914101,0.003549709162894638,1.3019749371788413e-05,,,,,
5,0,5,0.1,18000.0,2.4998726240019537e-15,1.727991728068714e-10,69123.19097692409,0.00020592046169800048,2.2826872518239308e-06,,,,,
5,0,5,0.1,30000.0,2.4993579550578997e-15,1.727987783613029e-10,69137.26703756601,0.0,0.0,,,,,
5,4,5,0.1,9000.0,9.884224361490501e-12,1.707563096344402e-07,17275.64079784717,0.0025854991621587307,0.00020431605215560458,,,,,
5,4,5,0.1,18000.0,9.861094237090395e-12,1.707275567993876e-07,17313.246653422342,0.00023934366535382004,3.589645009279887e-05,,,,,
5,4,5,0.1,30000.0,9.858734611412748e-12,1.7072142850614946e-07,17316.768858806437,0.0,0.0,,,,,
3,2,1,0.1,,0.0005168696895592018,,,,,12000.0,5e-06,0.010565496176135027,4.487893301691239e-06,2.0183347349291268e-06
3,2,1,0.1,,0.0005168684855996162,,,,,24000.0,3e-06,0.01056548120801215,2.9155258809357187e-06,3.1099902169579645e-07
3,2,1,0.1,,0.0005168686463452595,,,,,40000.0,1.5e-06,0.010565478015107013,1.4975486587828458e-06,0.0
3,4,5,0.1,,1.7506699213033412e-06,,,,,12000.0,5e-06,0.003912103042693962,4.993980751292864e-06,8.618825898582105e-06
3,4,5,0.1,,1.750657863050305e-06,,,,,24000.0,3e-06,0.00391206834284932,2.99639698915622e-06,1.730972958730018e-06
3,4,5,0.1,,1.7506548327141295e-06,,,,,40000.0,1.5e-06,0.003912060940873522,1.497711383362397e-06,0.0
