D,d,theta,z,width,alpha_dm,case,case_id,quantity_id,observable_label,y_value,theory_ratio,residual_to_theory,coeff_O_delta2_epsilon2,visible_baseline_coeff,paper_use_flag,source_rule,method_status
3,1,0.0,1.5,0.05,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,5.251105655268221e-05,5.251105655268221e-05,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.08,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,0.0001623630219983,0.0001623630219983,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.1,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,0.0002758246854207,0.0002758246854207,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.12,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,0.0004238004111977,0.0004238004111977,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.18,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,0.0010860538577627,0.0010860538577627,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.24,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,0.0020850037455982,0.0020850037455982,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.3,0.0,baseline,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,1.0,1.0,0.0,0.0034168937898702,0.0034168937898702,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.05,0.4,II_aDM_0p4,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,0.96,0.96,0.0,5.041061429057492e-05,5.251105655268221e-05,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.08,0.4,II_aDM_0p4,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,0.96,0.96,0.0,0.0001558685011184,0.0001623630219983,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT
3,1,0.0,1.5,0.1,0.4,II_aDM_0p4,case_II_scaling,hee_caseII_scaling,DeltaS_int_ratio,0.96,0.96,0.0,0.0002647916980039,0.0002758246854207,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT
