D,d,theta,z,case_id,case_label,quantity,thermodynamic_scheme,reliability_class,source_rule,epsilon_horizon,mu_branch,F_iso_visible,F_aniso_visible,DeltaF_visible,T_deltaF_visible,solver_success,solver_message,case_free_energy_scale,DeltaF,T_deltaF,F_iso,F_aniso,y_value,y_label
3,1,0.0,1.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,,,,,,False,degenerate m<=0,1.0,,,,,,tanh(Delta F / V_d)
3,1,0.0,1.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,,,,,,False,degenerate m<=0,1.0,,,,,,tanh(Delta F / V_d)
3,1,0.0,1.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,,,,,,False,degenerate m<=0,0.84,,,,,,tanh(Delta F / V_d)
3,1,0.0,1.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,,,,,,False,degenerate m<=0,1.0,,,,,,tanh(Delta F / V_d)
3,1,0.0,1.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,,,,,,False,degenerate m<=0,,,,,,,tanh(Delta F / V_d)
3,1,0.0,1.5,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,9.454607196057353,-22.347399307934868,-26.02851777247855,-3.681118464543683,-0.9987312515337742,True,The algorithm converged to the desired accuracy.,1.0,-3.681118464543683,-0.9987312515337742,-22.347399307934868,-26.02851777247855,-0.9987312515337742,tanh(Delta F / V_d)
3,1,0.0,1.5,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,9.454607196057353,-22.347399307934868,-26.02851777247855,-3.681118464543683,-0.9987312515337742,True,The algorithm converged to the desired accuracy.,1.0,-3.681118464543683,-0.9987312515337742,-22.347399307934868,-26.02851777247855,-0.9987312515337742,tanh(Delta F / V_d)
3,1,0.0,1.5,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,9.454607196057353,-22.347399307934868,-26.02851777247855,-3.681118464543683,-0.9987312515337742,True,The algorithm converged to the desired accuracy.,0.84,-3.0921395102166938,-0.9958853080383763,-22.347399307934868,-25.43953881815156,-0.9958853080383763,tanh(Delta F / V_d)
3,1,0.0,1.5,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,9.454607196057353,-22.347399307934868,-26.02851777247855,-3.681118464543683,-0.9987312515337742,True,The algorithm converged to the desired accuracy.,1.0,-3.681118464543683,-0.9987312515337742,-22.347399307934868,-26.02851777247855,-0.9987312515337742,tanh(Delta F / V_d)
3,1,0.0,1.5,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,9.454607196057353,-22.347399307934868,-26.02851777247855,-3.681118464543683,-0.9987312515337742,True,The algorithm converged to the desired accuracy.,1.0003830454081464,-3.6825285000683694,-0.9987348221940902,-22.347399307934868,-26.029927808003237,-0.9987348221940902,tanh(Delta F / V_d)
3,1,0.0,2.0,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,12.538689371787724,-78.60936558109121,-80.21445662465536,-1.6050910435641441,-0.9224313086798127,True,The algorithm converged to the desired accuracy.,1.0,-1.6050910435641441,-0.9224313086798127,-78.60936558109121,-80.21445662465536,-0.9224313086798127,tanh(Delta F / V_d)
3,1,0.0,2.0,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,12.538689371787724,-78.60936558109121,-80.21445662465536,-1.6050910435641441,-0.9224313086798127,True,The algorithm converged to the desired accuracy.,1.0,-1.6050910435641441,-0.9224313086798127,-78.60936558109121,-80.21445662465536,-0.9224313086798127,tanh(Delta F / V_d)
3,1,0.0,2.0,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,12.538689371787724,-78.60936558109121,-80.21445662465536,-1.6050910435641441,-0.9224313086798127,True,The algorithm converged to the desired accuracy.,0.84,-1.348276476593881,-0.8736458698395472,-78.60936558109121,-79.95764205768509,-0.8736458698395472,tanh(Delta F / V_d)
3,1,0.0,2.0,case_IIIa,Case III-a: homogeneous adjoint scalar,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,12.538689371787724,-78.60936558109121,-80.21445662465536,-1.6050910435641441,-0.9224313086798127,True,The algorithm converged to the desired accuracy.,1.0,-1.6050910435641441,-0.9224313086798127,-78.60936558109121,-80.21445662465536,-0.9224313086798127,tanh(Delta F / V_d)
3,1,0.0,2.0,case_IIIb,Case III-b: tensor portal,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,tensor_portal_source_weight_prescription,0.001,12.538689371787724,-78.60936558109121,-80.21445662465536,-1.6050910435641441,-0.9224313086798127,True,The algorithm converged to the desired accuracy.,1.0007922638566842,-1.6063626991846476,-0.9226207162972466,-78.60936558109121,-80.21572828027585,-0.9226207162972466,tanh(Delta F / V_d)
3,1,0.0,2.5,visible_baseline,Visible baseline,free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_probe_YM,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,1.0,-0.47436021739986245,-0.44171554866452317,-166.35295432968047,-166.82731454708033,-0.44171554866452317,tanh(Delta F / V_d)
3,1,0.0,2.5,case_I,Case I: temporal hidden U(1),free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,leading_order_isotropic_null,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,1.0,-0.47436021739986245,-0.44171554866452317,-166.35295432968047,-166.82731454708033,-0.44171554866452317,tanh(Delta F / V_d)
3,1,0.0,2.5,case_II,"Case II: hidden SU(2), alpha_dm=0.8",free_energy_probe_diagnostic,probe_YM_on_shell_action_1609_style,probe_diagnostic_not_full_renormalized_grand_potential,strict_minimal_hidden_SU2_muX0,0.001,14.893083599652579,-166.35295432968047,-166.82731454708033,-0.47436021739986245,-0.44171554866452317,True,The algorithm converged to the desired accuracy.,0.84,-0.39846258261588446,-0.3786327204783706,-166.35295432968047,-166.75141691229635,-0.3786327204783706,tanh(Delta F / V_d)
