D,d,theta,z,width,case_id,case_label,case,quantity_id,quantity_label,y_value,y_ratio,mu_c,observable,coefficient_method,paper_use_flag,source_rule,method_status,source_file,source_status,notes
3,1,0.0,1.5,0.05,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),5.251105655268221e-05,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.08,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),0.0001623630219983,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.1,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),0.0002758246854207,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.12,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),0.0004238004111977,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.18,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),0.0010860538577627,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.24,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),0.0020850037455982,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.3,visible_baseline,visible baseline,baseline,hee_abs,Delta S_int^(2),0.0034168937898702,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.05,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),5.251105655268221e-05,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.08,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),0.0001623630219983,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.1,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),0.0002758246854207,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.12,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),0.0004238004111977,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.18,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),0.0010860538577627,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.24,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),0.0020850037455982,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.3,case_I,Case I: temporal hidden U(1),I_temporal_U1_qX_0p5,hee_abs,Delta S_int^(2),0.0034168937898702,1.0,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.05,case_II,"Case II: hidden SU(2), alpha_dm=0.8",II_aDM_0p8,hee_abs,Delta S_int^(2),4.410928750425305e-05,0.84,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.08,case_II,"Case II: hidden SU(2), alpha_dm=0.8",II_aDM_0p8,hee_abs,Delta S_int^(2),0.0001363849384786,0.84,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.1,case_II,"Case II: hidden SU(2), alpha_dm=0.8",II_aDM_0p8,hee_abs,Delta S_int^(2),0.0002316927357534,0.84,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.12,case_II,"Case II: hidden SU(2), alpha_dm=0.8",II_aDM_0p8,hee_abs,Delta S_int^(2),0.0003559923454061,0.84,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.18,case_II,"Case II: hidden SU(2), alpha_dm=0.8",II_aDM_0p8,hee_abs,Delta S_int^(2),0.0009122852405207,0.84,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
3,1,0.0,1.5,0.24,case_II,"Case II: hidden SU(2), alpha_dm=0.8",II_aDM_0p8,hee_abs,Delta S_int^(2),0.0017514031463025,0.84,10.952606704193652,DeltaS_int_O_delta2_epsilon2,PAPER_SMALL_WIDTH_FIRST_VARIATION,PAPER_READY_STRICT_SMALL_WIDTH,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,v98_FULL_D345_off_locus_HEE_all_cases.csv,strict_or_selection_rule,
