case,source_rule,constant_scale,portal_phi_h,strictness
baseline,STRICT_VISIBLE_EOM,1.0,,STRICT
I_temporal_U1_qX_0p5,STRICT_LEADING_ORDER_ISOTROPIC_NULL,1.0,,STRICT
II_aDM_0p4,STRICT_MINIMAL_HIDDEN_SU2_MUX0,0.96,,STRICT
II_aDM_0p8,STRICT_MINIMAL_HIDDEN_SU2_MUX0,0.84,,STRICT
II_aDM_1p2,STRICT_MINIMAL_HIDDEN_SU2_MUX0,0.64,,STRICT
II-b_aDM_0p4_muX_0p5,LOCKED_PROFILE_MUX_PRESCRIPTION,0.97,,EXPLICIT_MODEL_PRESCRIPTION
III-a_Phi_0p2,STRICT_LEADING_ORDER_ISOTROPIC_NULL,1.0,,STRICT
III-a_Phi_0p4,STRICT_LEADING_ORDER_ISOTROPIC_NULL,1.0,,STRICT
III-b_Phi_0p2_l1,Z_WEIGHTED_RESPONSE_PRESCRIPTION,,0.2,EXPLICIT_MODEL_PRESCRIPTION
III-b_Phi_0p4_l1,Z_WEIGHTED_RESPONSE_PRESCRIPTION,,0.4,EXPLICIT_MODEL_PRESCRIPTION
