D,d,alpha,z,width,case,observable,mu_c,mu_convention,coeff_O_delta2_epsilon2,visible_baseline_coeff,ratio_to_visible_baseline,turning_point_u_star,width_regime,zero_mode_status,response_status,source_rule,method_status,portal_profile,notes
3,1,0.0,1.5,0.1,baseline,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0002758246854207425,0.0002758246854207425,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,,
3,1,0.0,1.5,0.1,I_temporal_U1_qX_0p5,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0002758246854207425,0.0002758246854207425,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.1,II_aDM_0p4,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.00026479169800391276,0.0002758246854207425,0.9599999999999999,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,1.5,0.1,II_aDM_0p8,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.00023169273575342368,0.0002758246854207425,0.84,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,1.5,0.1,II_aDM_1p2,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0001765277986692752,0.0002758246854207425,0.64,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_MINIMAL_HIDDEN_SU2_MUX0,FINAL_STRICT_EOM_RT,,
3,1,0.0,1.5,0.1,II-b_aDM_0p4_muX_0p5,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0002675499448581202,0.0002758246854207425,0.9699999999999999,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,LOCKED_PROFILE_MUX_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,,mu_X nonzero row uses the stated locked-profile source prescription; not a full independent hidden-profile solve.
3,1,0.0,1.5,0.1,III-a_Phi_0p2,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0002758246854207425,0.0002758246854207425,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.1,III-a_Phi_0p4,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0002758246854207425,0.0002758246854207425,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
3,1,0.0,1.5,0.1,III-b_Phi_0p2_l1,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.0002758510328230862,0.0002758246854207425,1.0000955222782308,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,Z_WEIGHTED_RESPONSE_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,"Phi(u)=0.2/(1+u^2)^2, Z=exp(Phi^2)",Tensor row recomputes the metric response with a radial Z-weighted YM stress while holding the onset profile fixed; model prescription explicitly recorded.
3,1,0.0,1.5,0.1,III-b_Phi_0p4_l1,DeltaS_int_O_delta2_epsilon2,10.952606704193652,b0(infinity)=mu; analytic-locus anchor mu=4,0.00027593033879994635,0.0002758246854207425,1.0003830454081464,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,Z_WEIGHTED_RESPONSE_PRESCRIPTION,FINAL_WITH_EXPLICIT_PRESCRIPTION,"Phi(u)=0.4/(1+u^2)^2, Z=exp(Phi^2)",Tensor row recomputes the metric response with a radial Z-weighted YM stress while holding the onset profile fixed; model prescription explicitly recorded.
3,1,0.0,2.0,0.1,baseline,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.481310384700695e-05,7.481310384700695e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_VISIBLE_EOM,FINAL_STRICT_EOM_RT,,
3,1,0.0,2.0,0.1,I_temporal_U1_qX_0p5,DeltaS_int_O_delta2_epsilon2,12.79379359574271,b0(infinity)=mu; analytic-locus anchor mu=4,7.481310384700695e-05,7.481310384700695e-05,1.0,20.0,SMALL_WIDTH_CONTROLLED,CONVERGED,CONVERGED,STRICT_LEADING_ORDER_ISOTROPIC_NULL,FINAL_STRICT_EOM_RT,,"At leading O(delta^2 epsilon^2), an epsilon-independent homogeneous isotropic dark source does not alter this anisotropy-induced coefficient."
