D,d,theta,z,Delta,U,nh,A,m2,status,message,W,u_star_proxy,Phi_at_ustar,relative_portal_shift
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.05,20.0,0.014806012519885224,0.000219218006738998
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.052083333333333336,19.2,0.01548456968239241,0.0002397718982488662
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.05416666666666667,18.46153846153846,0.016165676343294855,0.0002613290916361629
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.05625,17.77777777777778,0.016849231391225974,0.0002838965984750748
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.058333333333333334,17.142857142857142,0.017535140421776212,0.00030748114961141003
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.06041666666666667,16.551724137931036,0.01822331503360573,0.0003320892108140406
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.0625,16.0,0.018913672219445,0.00035772699682460555
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.06458333333333334,15.483870967741934,0.01960613388591327,0.0003844004859523566
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.06666666666666667,15.0,0.020300626448211963,0.00041211543418984305
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.06875,14.545454545454545,0.020997080197551785,0.0004408773768224213
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.07083333333333333,14.117647058823529,0.021695429286897598,0.00047069165194277404
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.07291666666666667,13.714285714285714,0.022395611056024976,0.0005015633945727481
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.07500000000000001,13.333333333333332,0.02309756613913065,0.0005334975615515148
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.07708333333333334,12.972972972972972,0.023801237851848976,0.0005664989232802885
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.07916666666666666,12.631578947368421,0.02450657215851779,0.0006005720789606393
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.08125,12.307692307692307,0.02521351751457691,0.0006357214654578766
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.08333333333333334,11.999999999999998,0.025922024587978744,0.0006719513587397746
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.08541666666666667,11.707317073170731,0.026632046119623304,0.0007092658805177426
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.0875,11.428571428571429,0.02734353678995825,0.0007476690041838003
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.08958333333333333,11.162790697674419,0.028056453088435972,0.0007871645599036084
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.09166666666666667,10.909090909090908,0.028770753190944215,0.0008277562391742268
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.09375,10.666666666666666,0.029486396840026262,0.0008694475986075108
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.09583333333333333,10.434782608695652,0.030203345222371752,0.0009122420626217666
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.09791666666666667,10.212765957446809,0.030921560939612198,0.0009561429309421508
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.1,10.0,0.03164100795251337,0.0010011533842510145
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.10208333333333333,9.795918367346939,0.032361651392114124,0.001047276480824722
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.10416666666666667,9.6,0.03308345741047651,0.0010945151542308131
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.10625000000000001,9.411764705882351,0.03380639347143545,0.0011428722395455135
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.10833333333333334,9.23076923076923,0.03453042796747986,0.0011923504556173154
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,0.11041666666666666,9.056603773584905,0.03525553011624783,0.0012429524037776579
