point_key,delta2,alpha_dm,mu_X,mu_c,w0,success,message,residual_inf,temperature,mu,source,vev,rho,rho_d,epsilon,p_bar,Omega_ren,minus_p_bar,psi_abs,psi_sq,mu_minus_mu_c,accepted
d0.10_a0.0_nu0.0,0.1,0.0,0.0,3.730492119716248,0.02,True,,4.440892098500626e-16,0.17059454202568733,3.731406037163063,2.303929616531697e-17,0.061935014469105404,0.7463193579148116,0.0,2.882608434193571,0.954602459067246,-0.974089243522247,-0.954602459067246,0.061935014469105404,0.0038359460172882956,0.0009139174468151268,True
d0.10_a0.0_nu0.0,0.1,0.0,0.0,3.730492119716248,0.04,True,,4.440892098500626e-16,0.170600853422805,3.7316127582972403,-3.870601755773251e-17,0.12388095460213043,0.7464752013018771,0.0,2.8831778499124994,0.9547950976630091,-0.9742953106365526,-0.9547950976630091,0.12388095460213043,0.015346490913135101,0.001120638580992317,True
d0.10_a0.0_nu0.0,0.1,0.0,0.0,3.730492119716248,0.06,True,,4.440892098500626e-16,0.1706113703121635,3.7319573240100534,4.96564594998361e-17,0.1858487487481328,0.7467349829506339,0.0,2.8841271093933756,0.9551162421794288,-0.9746388345069261,-0.9551162421794288,0.1858487487481328,0.0345397574112466,0.0014652042938054777,True
d0.10_a0.0_nu0.0,0.1,0.0,0.0,3.730492119716248,0.08,True,,2.220446049250313e-16,0.17062609242212134,3.7324397453532767,1.8865117801247777e-17,0.24784933368861328,0.7470987769727911,0.0,2.885456541363965,0.9555660056003035,-0.9751199844422431,-0.9555660056003035,0.24784933368861328,0.061429292209889574,0.0019476256370287715,True
d0.10_a0.0_nu0.5,0.1,0.0,0.5,3.725430087442603,0.02,True,,3.5083047578154947e-14,0.16834320884732945,3.726336716830237,-1.4393868041917557e-14,0.06164155724446589,0.7453053575821578,0.10000077217315718,2.90367728106321,0.9615297610271227,-0.9813134006250569,-0.9615297610271227,0.06164155724446589,0.0037996815795227653,0.0009066293876336395,True
d0.10_a0.0_nu0.5,0.1,0.0,0.5,3.725430087442603,0.04,True,,1.6653345369377348e-15,0.16834947628999736,3.7265436414247075,1.1167282376600696e-17,0.12329404182597492,0.7454608345810223,0.100003093669999,2.9042457810510314,0.9617220474819987,-0.9815190547197221,-0.9617220474819987,0.12329404182597492,0.015201420749785253,0.0011135539821043317,True
d0.10_a0.0_nu0.5,0.1,0.0,0.5,3.725430087442603,0.06,True,,1.2212453270876722e-15,0.16835991918209464,3.726888555164174,4.206704429243757e-17,0.18496838276969482,0.7457200052460204,0.10000696193588257,2.905193521131878,0.9620426073443014,-0.9818618832673045,-0.9620426073443014,0.18496838276969482,0.03421330262443634,0.0014584677215707664,True
d0.10_a0.0_nu0.5,0.1,0.0,0.5,3.725430087442603,0.08,True,,5.551115123125783e-16,0.16837453808173586,3.7273714584168633,-4.3151246464923076e-17,0.24667551744852534,0.7460829363056402,0.10001237763485317,2.9065208198671826,0.9624915503454758,-0.9823420351260463,-0.9624915503454758,0.24667551744852534,0.06084881090849773,0.0019413709742601704,True
d0.10_a0.0_nu1.0,0.1,0.0,1.0,3.710025965175792,0.02,True,,6.439293542825908e-15,0.1616031095045405,3.7109106786124997,1.7406865879254774e-16,0.06074916842260734,0.7422197345943351,0.20000156067844171,2.9667535948992736,0.9822689617540163,-1.002941387995684,-0.9822689617540163,0.06074916842260734,0.0036904614640383125,0.000884713436707596,True
d0.10_a0.0_nu1.0,0.1,0.0,1.0,3.710025965175792,0.04,True,,1.021405182655144e-14,0.16160924261282425,3.7111182403437684,-4.206704429243757e-17,0.12150926950969798,0.7423741003896142,0.20000625468962702,2.967319328007761,0.9824601846157748,-1.0031458104858773,-0.9824601846157748,0.12150926950969798,0.014764502576780419,0.0010922751679762754,True
d0.10_a0.0_nu1.0,0.1,0.0,1.0,3.710025965175792,0.06,True,,6.661338147750939e-16,0.16161946369872454,3.7114641876755177,-1.734723475976807e-17,0.18229123498434435,0.742631398014484,0.200014072051812,2.9682624325278084,0.9827789641394702,-1.003486517564235,-0.9827789641394702,0.18229123498434435,0.03323009435211745,0.0014382224997255832,True
d0.10_a0.0_nu1.0,0.1,0.0,1.0,3.710025965175792,0.08,True,,1.1102230246251565e-15,0.1616337708494029,3.711948556163676,4.401860820291148e-17,0.24310601009041138,0.7429917241166374,0.2000250201896574,2.9695832557927133,0.9832254189977903,-1.0039637561182568,-0.9832254189977903,0.24310601009041138,0.0591005321420792,0.0019225909878839431,True
d0.10_a0.0_nu1.5,0.1,0.0,1.5,3.683584134198788,0.02,True,,4.076738946423575e-13,0.15041847872285308,3.684432087669695,-6.134415891922984e-15,0.05921936817045072,0.7369233082746391,0.3000023879962737,3.071422975317546,1.0166841427317195,-1.0388316652753877,-1.0166841427317195,0.05921936817045072,0.0035069335665073916,0.000847953470907381,True
d0.10_a0.0_nu1.5,0.1,0.0,1.5,3.683584134198788,0.04,True,,1.3322676295501878e-15,0.15042438481673093,3.684640729541116,-6.396792817664476e-18,0.1184496740464724,0.7370757228161834,0.3000095525806932,3.071983963974162,1.0168735476509028,-1.0390338784633566,-1.0168735476509028,0.1184496740464724,0.014030325281715557,0.0010565953423280483,True
d0.10_a0.0_nu1.5,0.1,0.0,1.5,3.683584134198788,0.06,True,,7.771561172376096e-16,0.1504342285265809,3.684988472180961,-4.336808689942018e-19,0.1777018636486809,0.7373298072467219,0.3000215006114216,3.0729191602667925,1.0171892961561753,-1.0393710649250292,-1.0171892961561753,0.1777018636486809,0.03157795234421438,0.0014043379821733204,True
d0.10_a0.0_nu1.5,0.1,0.0,1.5,3.683584134198788,0.08,True,,5.262457136723242e-14,0.15044800827665328,3.6854753396277786,6.261484386538285e-15,0.23698688310294902,0.737685606428,0.3000382229742579,3.074228895084161,1.017631502380027,-1.0398432653642833,-1.017631502380027,0.23698688310294902,0.056162782762850826,0.0018912054289907942,True
d0.10_a0.0_nu2.0,0.1,0.0,2.0,3.6447873612782926,0.02,True,,3.552713678800501e-15,0.13487262492863422,3.645583370116868,-1.406752318799942e-16,0.05697869990303504,0.729152494825295,0.4000032685511054,3.2169050646116375,1.06451927065973,-1.088717377197232,-1.06451927065973,0.05697869990303504,0.0032465722426401255,0.000796008838575446,True
d0.10_a0.0_nu2.0,0.1,0.0,2.0,3.6447873612782926,0.04,True,,1.3322676295501878e-15,0.13487820783858911,3.645793561861356,4.7704895589362195e-18,0.11396835150168072,0.729302041472064,0.40001309245518885,3.217459110465825,1.0647060262072046,-1.0889165356458852,-1.0647060262072046,0.11396835150168072,0.01298878514401065,0.0010062005830633325,True
