D,d,theta,z,Delta,U,nh,A,m2,status,message,fit_exponent_relative_shift,fit_intercept,expected_near_boundary_exponent,fit_window,Delta_UV_selected,expected_dynamical_source_exponent,expected_relative_shift_exponent_v157,exponent_formula_v157
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,2.183591907914998,-0.0487822517826848,2.2,W<=0.18,1.1,2.2,2.2,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,1.25,80.0,4.0,5.0,-3.4375,0,The algorithm converged to the desired accuracy.,2.4662468063361334,-0.1031159623474975,2.5,W<=0.18,1.25,2.5,2.5,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,1.5,80.0,4.0,5.0,-3.75,0,The algorithm converged to the desired accuracy.,2.896063015348642,-0.3385463209369566,3.0,W<=0.18,1.5,3.0,3.0,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,1.75,80.0,4.0,5.0,-3.9375,0,The algorithm converged to the desired accuracy.,3.2160620500736017,-1.011678205769341,3.5,W<=0.18,1.75,3.5,3.5,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,2.0,80.0,4.0,5.0,-4.0,0,The algorithm converged to the desired accuracy.,3.338252020345188,-2.598370122640562,4.0,W<=0.18,2.0,4.0,4.0,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,2.25,80.0,4.0,5.0,-3.9375,0,The algorithm converged to the desired accuracy.,3.2160620500736,-5.393704840443224,4.5,W<=0.18,1.75,3.5,3.5,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,2.5,80.0,4.0,5.0,-3.75,0,The algorithm converged to the desired accuracy.,2.896063015348644,-9.102599590284717,5.0,W<=0.18,1.5,3.0,3.0,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,3.0,80.0,4.0,5.0,-3.0,0,The algorithm converged to the desired accuracy.,1.9900440839477789,-17.55728144828944,6.0,W<=0.18,1.0,2.0,2.0,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,3.5,80.0,4.0,5.0,-1.75,0,The algorithm converged to the desired accuracy.,0.9994187879644664,-26.29379092073588,7.0,W<=0.18,0.5,1.0,1.0,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
3,1,2.0,1.0,4.0,80.0,4.0,5.0,0.0,0,The algorithm converged to the desired accuracy.,3.0149750370110003e-12,-35.0562130773828,8.0,W<=0.18,0.0,0.0,0.0,"relative portal shift ~ W^(2 Delta_UV), Delta_UV=min(Delta, A-1-Delta) for sourced branch"
