D,scan,x,W,case,baseline_value,response_value,response_ratio,relative_to_visible,observable
3,theta,0.0,0.1,vis,7.481310384700695e-05,7.481310384700695e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.0,0.1,I,7.481310384700695e-05,7.481310384700695e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.0,0.1,II,7.481310384700695e-05,6.520479370205834e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.0,0.1,III-a,7.481310384700695e-05,7.481310384700695e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.0,0.1,III-b,7.481310384700695e-05,7.487965284123867e-05,1.000889536602676,0.0008895366026759888,DeltaS_int^(2)
3,theta,0.025,0.1,vis,7.486933182121779e-05,7.486933182121779e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.025,0.1,I,7.486933182121779e-05,7.486933182121779e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.025,0.1,II,7.486933182121779e-05,6.525380027002804e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.025,0.1,III-a,7.486933182121779e-05,7.486933182121779e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.025,0.1,III-b,7.486933182121779e-05,7.49364807969027e-05,1.000896882262089,0.0008968822620889494,DeltaS_int^(2)
3,theta,0.05,0.1,vis,7.493354879599107e-05,7.493354879599107e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.05,0.1,I,7.493354879599107e-05,7.493354879599107e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.05,0.1,II,7.493354879599107e-05,6.530976980446714e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.05,0.1,III-a,7.493354879599107e-05,7.493354879599107e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.05,0.1,III-b,7.493354879599107e-05,7.500127560112868e-05,1.0009038248718474,0.0009038248718473696,DeltaS_int^(2)
3,theta,0.07500000000000001,0.1,vis,7.500543065184553e-05,7.500543065184553e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.07500000000000001,0.1,I,7.500543065184553e-05,7.500543065184553e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.07500000000000001,0.1,II,7.500543065184553e-05,6.537241981283327e-05,0.871569154989243,-0.12843084501075697,DeltaS_int^(2)
3,theta,0.07500000000000001,0.1,III-a,7.500543065184553e-05,7.500543065184553e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.07500000000000001,0.1,III-b,7.500543065184553e-05,7.507371353026465e-05,1.0009103724600432,0.0009103724600432184,DeltaS_int^(2)
3,theta,0.1,0.1,vis,7.508465326929988e-05,7.508465326929988e-05,1.0,0.0,DeltaS_int^(2)
3,theta,0.1,0.1,I,7.508465326929988e-05,7.508465326929988e-05,1.0,0.0,DeltaS_int^(2)
