D,scan,x,case,mu_c_visible,mu_c_value,mu_ratio
3,theta,0.0,vis,12.79379359574271,12.79379359574271,1.0
3,theta,0.0,I,12.79379359574271,12.79379359574271,1.0
3,theta,0.0,II,12.79379359574271,10.733615299159132,0.8389704913428393
3,theta,0.0,III-a,12.79379359574271,12.79379359574271,1.0
3,theta,0.0,III-b,12.79379359574271,12.79379359574271,1.0
3,theta,0.025,vis,12.671407781579616,12.671407781579616,1.0
3,theta,0.025,I,12.671407781579616,12.671407781579616,1.0
3,theta,0.025,II,12.671407781579616,10.630937212517328,0.8389704913428393
3,theta,0.025,III-a,12.671407781579616,12.671407781579616,1.0
3,theta,0.025,III-b,12.671407781579616,12.671407781579616,1.0
3,theta,0.05,vis,12.550830586656708,12.550830586656708,1.0
3,theta,0.05,I,12.550830586656708,12.550830586656708,1.0
3,theta,0.05,II,12.550830586656708,10.529776504048115,0.8389704913428393
3,theta,0.05,III-a,12.550830586656708,12.550830586656708,1.0
3,theta,0.05,III-b,12.550830586656708,12.550830586656708,1.0
3,theta,0.07500000000000001,vis,12.43223992383543,12.43223992383543,1.0
3,theta,0.07500000000000001,I,12.43223992383543,12.43223992383543,1.0
3,theta,0.07500000000000001,II,12.43223992383543,10.430282437392274,0.8389704913428393
3,theta,0.07500000000000001,III-a,12.43223992383543,12.43223992383543,1.0
3,theta,0.07500000000000001,III-b,12.43223992383543,12.43223992383543,1.0
3,theta,0.1,vis,12.315813705977218,12.315813705977218,1.0
3,theta,0.1,I,12.315813705977218,12.315813705977218,1.0
3,theta,0.1,II,12.315813705977218,10.332604276190581,0.8389704913428393
3,theta,0.1,III-a,12.315813705977218,12.315813705977218,1.0
3,theta,0.1,III-b,12.315813705977218,12.315813705977218,1.0
3,theta,0.125,vis,12.20172984594351,12.20172984594351,1.0
3,theta,0.125,I,12.20172984594351,12.20172984594351,1.0
3,theta,0.125,II,12.20172984594351,10.236891284083812,0.8389704913428393
3,theta,0.125,III-a,12.20172984594351,12.20172984594351,1.0
3,theta,0.125,III-b,12.20172984594351,12.20172984594351,1.0
3,theta,0.15000000000000002,vis,12.090166256595749,12.090166256595749,1.0
3,theta,0.15000000000000002,I,12.090166256595749,12.090166256595749,1.0
3,theta,0.15000000000000002,II,12.090166256595749,10.143292724712751,0.8389704913428393
3,theta,0.15000000000000002,III-a,12.090166256595749,12.090166256595749,1.0
3,theta,0.15000000000000002,III-b,12.090166256595749,12.090166256595749,1.0
3,theta,0.17500000000000002,vis,11.981300850795375,11.981300850795375,1.0
3,theta,0.17500000000000002,I,11.981300850795375,11.981300850795375,1.0
3,theta,0.17500000000000002,II,11.981300850795375,10.051957861718174,0.8389704913428393
3,theta,0.17500000000000002,III-a,11.981300850795375,11.981300850795375,1.0
3,theta,0.17500000000000002,III-b,11.981300850795375,11.981300850795375,1.0
3,theta,0.2,vis,11.875311541403825,11.875311541403825,1.0
3,theta,0.2,I,11.875311541403825,11.875311541403825,1.0
3,theta,0.2,II,11.875311541403825,9.963035958740857,0.8389704913428393
3,theta,0.2,III-a,11.875311541403825,11.875311541403825,1.0
3,theta,0.2,III-b,11.875311541403825,11.875311541403825,1.0
3,theta,0.225,vis,11.772376241282544,11.772376241282544,1.0
3,theta,0.225,I,11.772376241282544,11.772376241282544,1.0
3,theta,0.225,II,11.772376241282544,9.876676279421583,0.8389704913428393
3,theta,0.225,III-a,11.772376241282544,11.772376241282544,1.0
3,theta,0.225,III-b,11.772376241282544,11.772376241282544,1.0
3,theta,0.25,vis,11.672672863292965,11.672672863292965,1.0
3,theta,0.25,I,11.672672863292965,11.672672863292965,1.0
3,theta,0.25,II,11.672672863292965,9.793028087401126,0.8389704913428393
3,theta,0.25,III-a,11.672672863292965,11.672672863292965,1.0
3,theta,0.25,III-b,11.672672863292965,11.672672863292965,1.0
3,theta,0.275,vis,11.576379320296533,11.576379320296533,1.0
3,theta,0.275,I,11.576379320296533,11.576379320296533,1.0
3,theta,0.275,II,11.576379320296533,9.712240646320266,0.8389704913428393
3,theta,0.275,III-a,11.576379320296533,11.576379320296533,1.0
3,theta,0.275,III-b,11.576379320296533,11.576379320296533,1.0
3,theta,0.30000000000000004,vis,11.483673525154682,11.483673525154682,1.0
3,theta,0.30000000000000004,I,11.483673525154682,11.483673525154682,1.0
3,theta,0.30000000000000004,II,11.483673525154682,9.634463219819779,0.8389704913428393
3,theta,0.30000000000000004,III-a,11.483673525154682,11.483673525154682,1.0
3,theta,0.30000000000000004,III-b,11.483673525154682,11.483673525154682,1.0
3,theta,0.325,vis,11.39473339072886,11.39473339072886,1.0
3,theta,0.325,I,11.39473339072886,11.39473339072886,1.0
3,theta,0.325,II,11.39473339072886,9.55984507154045,0.8389704913428393
3,theta,0.325,III-a,11.39473339072886,11.39473339072886,1.0
3,theta,0.325,III-b,11.39473339072886,11.39473339072886,1.0
3,theta,0.35000000000000003,vis,11.309736829880503,11.309736829880503,1.0
3,theta,0.35000000000000003,I,11.309736829880503,11.309736829880503,1.0
3,theta,0.35000000000000003,II,11.309736829880503,9.488535465123052,0.8389704913428393
3,theta,0.35000000000000003,III-a,11.309736829880503,11.309736829880503,1.0
3,theta,0.35000000000000003,III-b,11.309736829880503,11.309736829880503,1.0
3,theta,0.375,vis,11.228861755471048,11.228861755471048,1.0
3,theta,0.375,I,11.228861755471048,11.228861755471048,1.0
3,theta,0.375,II,11.228861755471048,9.420683664208362,0.8389704913428393
3,theta,0.375,III-a,11.228861755471048,11.228861755471048,1.0
3,theta,0.375,III-b,11.228861755471048,11.228861755471048,1.0
3,theta,0.4,vis,11.152286080361938,11.152286080361938,1.0
3,theta,0.4,I,11.152286080361938,11.152286080361938,1.0
3,theta,0.4,II,11.152286080361938,9.356438932437163,0.8389704913428393
3,theta,0.4,III-a,11.152286080361938,11.152286080361938,1.0
