D,d,theta,z,Delta,U,nh,A,m2,status,message,u,Phi,Phi2
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.001,0.3225161711577434,0.10401668065825083
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.0157748954343067,0.31875709647451295,0.10160608655286195
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.0307678703242527,0.3150204231080108,0.09923786697515015
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.0459821435521088,0.3113064877230698,0.0969117292984738
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.0614209815112843,0.30761562139145754,0.09462737052405255
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.0770876988075964,0.3039481491879793,0.09238447739479812
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.0929856589708935,0.30030438997428305,0.09018272663782627
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.1091182751771793,0.29668465608527655,0.08802178515643883
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.1254890109813966,0.2930892528147391,0.08590131011550203
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.1421013810610285,0.2895184780706007,0.08382094914431691
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.1589589519706731,0.2859726220577475,0.08178034056658329
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.1760653429077566,0.28245196712309417,0.07977911373170547
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.1934242264895492,0.2789567874974479,0.07781688929089631
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.2110393295416486,0.27548734883906456,0.07589327937037645
3,1,2.0,1.0,1.1,80.0,4.0,5.0,-3.19,0,The algorithm converged to the desired accuracy.,1.228914433898103,0.2720439079545687,0.07400788785519384
